,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,ModelType,ID,Efficiency
0,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,Adam,0.99938965,0.51831055,4,40.70620448589325,kaiming_normal,kan_2layers,9000,0.006527831292972848
1,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,Adam,0.9995524,0.5239258,3,40.72563542366028,kaiming_uniform,kan_2layers,9000,0.008248190280025734
2,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,Adam,0.9993286,0.51330566,0,39.66354829788208,orthogonal_,kan_2layers,9000,0.032323987522616324
3,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,SGDM,0.9991862,0.5184326,29,40.149552655220035,kaiming_normal,kan_2layers,9000,0.001088228074069132
4,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,SGDM,0.99643964,0.52001953,28,39.62334104537964,kaiming_uniform,kan_2layers,9000,0.00112919912751782
5,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,SGDM,0.9991862,0.51171875,43,40.54649105072021,orthogonal_,kan_2layers,9000,0.0007323649160481257
6,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,SGD,0.99941,0.5164795,38,39.73653286933899,kaiming_normal,kan_2layers,9000,0.0008339449029502035
7,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,SGD,0.9996338,0.51867676,1,38.08613324642182,kaiming_uniform,kan_2layers,9000,0.016331108757412748
8,CIFAR,backprop,kan,2layers,2048,0.0005,98,7890452,SGD,0.99934894,0.505249,32,40.642818479537965,orthogonal_,kan_2layers,9000,0.000964140663775168
9,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,Adam,0.99916583,0.5366211,4,40.563869805336,kaiming_normal,kan_2layers,9000,0.00675844242230746
10,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,Adam,0.99938965,0.52319336,7,40.56848042011261,kaiming_uniform,kan_2layers,9000,0.004118329720092048
11,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,Adam,0.9991252,0.5321045,4,46.946887998580934,orthogonal_,kan_2layers,9000,0.006701558373125283
12,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,SGDM,0.63130695,0.51086426,12,40.15581027984619,kaiming_normal,kan_2layers,9000,0.0024746343991954817
13,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,SGDM,0.7076009,0.5163574,14,39.54864716053009,kaiming_uniform,kan_2layers,9000,0.002167744153949209
14,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,SGDM,0.72635907,0.5220947,14,46.97616294384002,orthogonal_,kan_2layers,9000,0.0021918301814457704
15,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,SGD,0.9991455,0.5187988,27,39.71317840576172,kaiming_normal,kan_2layers,9000,0.0011667822372254714
16,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,SGD,0.9953206,0.5187988,47,38.196255259513855,kaiming_uniform,kan_2layers,9000,0.0006806229717148584
17,CIFAR,backprop,kan,2layers,2048,0.005,98,7890452,SGD,0.99920654,0.5119629,43,46.875709128379825,orthogonal_,kan_2layers,9000,0.0007327143402078877
18,CIFAR,backprop,kan,2layers,4096,0.005,98,7890452,Adam,0.99886066,0.541626,7,29.133034286499022,orthogonal_,kan_2layers,9000,0.0042634227104384045
19,CIFAR,backprop,kan,2layers,4096,0.005,98,7890452,SGDM,0.61932373,0.5126953,16,29.27714174747467,orthogonal_,kan_2layers,9000,0.0018991501064485612
20,CIFAR,backprop,kan,2layers,4096,0.005,98,7890452,SGD,0.99890137,0.49401855,4,28.414521222114562,orthogonal_,kan_2layers,9000,0.0062218871485426475
21,CIFAR,backprop,kan,3layers,2048,0.0005,98,17066516,Adam,0.9989421,0.5159912,33,44.645855293273925,kaiming_normal,kan_3layers,9000,0.0009113691580808574
22,CIFAR,backprop,kan,3layers,2048,0.0005,98,17066516,Adam,0.9985555,0.53100586,31,48.73124891757965,orthogonal_,kan_3layers,9000,0.0009965068421456883
23,CIFAR,backprop,kan,3layers,2048,0.0005,98,17066516,SGDM,0.99871826,0.51452637,29,46.232063298225405,kaiming_normal,kan_3layers,9000,0.0010299528233342087
24,CIFAR,backprop,kan,3layers,2048,0.0005,98,17066516,SGDM,0.998291,0.5358887,17,53.72501230239868,orthogonal_,kan_3layers,9000,0.001787858088977049
25,CIFAR,backprop,kan,3layers,2048,0.0005,98,17066516,SGD,0.9989624,0.5157471,28,49.690254693031314,kaiming_normal,kan_3layers,9000,0.0010679962953209338
26,CIFAR,backprop,kan,3layers,2048,0.0005,98,17066516,SGD,0.9985555,0.5305176,43,41.42588925838471,orthogonal_,kan_3layers,9000,0.0007240658573779334
27,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,Adam,0.99871826,0.5307617,3,44.89367290973664,kaiming_normal,kan_3layers,9000,0.007968389133767784
28,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,Adam,0.99871826,0.5209961,30,55.10640974998474,kaiming_uniform,kan_3layers,9000,0.0010092615494651563
29,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,Adam,0.9982503,0.53430176,35,49.38210523605347,orthogonal_,kan_3layers,9000,0.0008912818310692816
30,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGDM,0.87145996,0.52111816,6,46.32506990432739,kaiming_normal,kan_3layers,9000,0.0044706340055950975
31,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGDM,0.9050293,0.5202637,6,54.11447124481201,kaiming_uniform,kan_3layers,9000,0.00446330365669223
32,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGDM,0.83184814,0.5235596,4,53.84074577331543,orthogonal_,kan_3layers,9000,0.006288210513335544
33,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGD,0.9987386,0.5151367,18,49.741921858787535,kaiming_normal,kan_3layers,9000,0.0016281703437015717
34,CIFAR,backprop,kan,3layers,2048,0.005,98,17066516,SGD,0.9982707,0.5350342,29,41.48898724079132,orthogonal_,kan_3layers,9000,0.001071004358572253
35,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,Adam,1.0,0.55249023,30,116.42631834030152,kaiming_normal,kan_4layers,9000,0.001021104209956649
36,CIFAR,backprop,kan,4layers,2048,0.0005,98,38040084,Adam,0.9996745,0.5546875,25,91.13084977149964,orthogonal_,kan_4layers,9000,0.0012223123200171056
