,Epoch,Train_loss,Test_loss,Time
0,0,0.91026086,0.9016113,9.978512287139893
1,2,0.9560547,0.94628906,7.6119701862335205
2,4,0.96805245,0.9608154,7.5082409381866455
3,6,0.9766846,0.96606445,7.63777494430542
4,8,0.9812535,0.96899414,7.517722129821777
5,10,0.98481095,0.96850586,7.432967901229858
6,12,0.98669434,0.9680176,7.442833185195923
7,14,0.98885673,0.9700928,7.476797342300415
8,16,0.986921,0.9667969,7.5616374015808105
9,18,0.991333,0.97180176,7.527863025665283
10,20,0.9935303,0.9699707,7.765663385391235
11,22,0.9954834,0.97106934,7.502302408218384
12,24,0.9934954,0.9733887,7.408572673797607
13,26,0.9923793,0.9688721,7.437533855438232
14,28,0.9944545,0.97265625,7.577831745147705
15,30,0.9933036,0.9683838,7.55419397354126
16,32,0.99421036,0.9686279,8.147955656051636
17,34,0.9957624,0.9713135,7.473042726516724
18,36,0.9961635,0.97558594,7.693098068237305
19,38,0.98939735,0.9661865,7.721016883850098
20,40,0.99504745,0.96936035,7.70506739616394
21,42,0.99560547,0.97314453,7.790454864501953
22,44,0.9983956,0.97473145,7.490776062011719
23,46,0.9972621,0.9724121,7.726347923278809
24,48,0.9953613,0.97302246,7.540304183959961
25,50,0.9971924,0.97314453,8.036567687988281
26,52,0.9969134,0.97216797,7.6538918018341064
27,54,0.99771553,0.9720459,7.836857557296753
28,56,0.9979597,0.9720459,7.813326835632324
29,58,0.99591935,0.9696045,7.87230920791626
30,60,0.9973668,0.9727783,7.859696388244629
31,62,0.9981515,0.9736328,7.658790588378906
32,64,0.998012,0.9736328,7.6279237270355225
33,66,0.99788994,0.97143555,7.677687168121338
34,68,0.9971052,0.9732666,7.663532972335815
35,70,0.99543107,0.9667969,7.925729036331177
36,72,0.99771553,0.9727783,7.701273441314697
37,74,0.99740165,0.97314453,7.630005121231079
38,76,0.99722725,0.9724121,7.832020044326782
39,78,0.9972796,0.9707031,7.617000102996826
40,80,0.9983259,0.96972656,7.8681323528289795
41,82,0.9982213,0.9719238,7.751203775405884
42,84,0.9980469,0.97106934,7.593301773071289
43,86,0.9972621,0.9729004,7.898642539978027
44,88,0.995745,0.97094727,7.8533689975738525
45,90,0.99788994,0.97314453,7.587046384811401
46,92,0.9933559,0.96533203,7.575389862060547
47,94,0.99750626,0.9724121,7.529384136199951
48,96,0.99665177,0.97106934,7.803908109664917
49,98,0.9967041,0.9715576,8.066784381866455
