epoch, train_acc, test_acc, time
0,0.90619993,0.9032452, 25.46
2,0.959168,0.953125, 34.39
4,0.96854967,0.96073717, 34.39
6,0.9696348,0.95703125, 34.84
8,0.9752771,0.9649439, 34.54
10,0.9778145,0.96484375, 34.05
12,0.97238916,0.96083736, 35.82
14,0.9816373,0.9694511, 35.40
16,0.978332,0.9649439, 36.41
18,0.9868289,0.9723558, 34.28
20,0.9901509,0.9738582, 33.86
22,0.9836405,0.96844953, 34.33
24,0.9863448,0.9654447, 34
26,0.98248863,0.96534455, 34.19
28,0.9887153,0.9682492, 34.20
30,0.98704594,0.9698518, 34.46
32,0.99202055,0.97365785, 34.84
34,0.99252135,0.974359, 36.84
36,0.99126935,0.97115386, 34.23
38,0.9874633,0.9697516, 34.06
40,0.9909021,0.9704527, 34.28
42,0.9873631,0.9667468, 34.11
44,0.99410725,0.974359, 34.09
46,0.99003404,0.9661458, 34.15
48,0.9949085,0.971855, 33.95
