epoch, train_acc, test_acc, time
0,0.9042468,0.9102564, 25.75
2,0.9334435,0.9341947, 38.61
4,0.9400875,0.940004, 38.58
6,0.9439603,0.9486178, 38.14
8,0.94624734,0.9470152, 37.17
10,0.9496194,0.9490184, 37.64
12,0.95018697,0.9494191, 38
14,0.9521401,0.95232373, 37.77
16,0.95230705,0.95002, 37.45
18,0.95352566,0.9526242, 37.83
20,0.9531083,0.9516226, 37.59
22,0.95379275,0.94971955, 37.41
24,0.9566306,0.95442706, 37.59
26,0.9567141,0.9541266, 38.13
28,0.9568977,0.9552284, 37.52
30,0.9581664,0.9572316, 37.86
32,0.95704794,0.9526242, 37.46
34,0.95581263,0.95302486, 37.95
36,0.95701456,0.9548277, 37.80 
38,0.95801616,0.95332533, 37.56
40,0.9575988,0.95592946, 37.20
42,0.95905113,0.9563301, 38.07
44,0.9586505,0.95653045, 37.94
46,0.9589677,0.95623, 38.40
48,0.95875067,0.958734, 37.48
