,Dataset,Backprop,Model,Num_layers,Batchsize,LearningRate,TotalEpochs,Num_parameters,Optimizer,Best_train,Best_test,Best_test_at,Avg_time,Initialization,ModelType,ID,Efficiency
0,CIFAR,backprop,kan,2layers,4096,0.005,98,7890452,Adam,0.99886066,0.541626,7,29.133034286499022,orthogonal_,kan_2layers,9000,0.0042634227104384045
1,CIFAR,backprop,kan,2layers,4096,0.005,98,7890452,SGDM,0.61932373,0.5126953,16,29.27714174747467,orthogonal_,kan_2layers,9000,0.0018991501064485612
2,CIFAR,backprop,kan,2layers,4096,0.005,98,7890452,SGD,0.99890137,0.49401855,4,28.414521222114562,orthogonal_,kan_2layers,9000,0.0062218871485426475
6,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,Adam,0.7531128,0.50109863,0,27.63565559864044,orthogonal_,mlp_2layers,9000,0.03693228605197107
7,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,SGDM,0.7148234,0.5057373,8,27.830946888923645,orthogonal_,mlp_2layers,9000,0.00414157424695935
8,CIFAR,backprop,mlp,2layers,4096,0.0005,98,789770,SGD,0.7659505,0.49084473,6,27.85978771686554,orthogonal_,mlp_2layers,9000,0.00516807809599779
9,CIFAR,backprop,mlp,2layers,4096,0.005,98,789770,Adam,0.63771564,0.48168945,32,28.240168313980103,orthogonal_,mlp_2layers,9000,0.0010758114688928675
10,CIFAR,backprop,mlp,2layers,4096,0.005,98,789770,SGDM,0.70170087,0.5332031,33,28.6507386636734,orthogonal_,mlp_2layers,9000,0.0011558373491202564
11,CIFAR,backprop,mlp,2layers,4096,0.005,98,789770,SGD,0.71307373,0.50842285,16,27.850662260055543,orthogonal_,mlp_2layers,9000,0.0022042411950574394
18,CIFAR,backprop,mlp,3layers,4096,0.0005,98,1708810,Adam,0.99198407,0.5085449,1,27.578565545082093,orthogonal_,mlp_3layers,9000,0.017724240927329455
19,CIFAR,backprop,mlp,3layers,4096,0.0005,98,1708810,SGDM,0.983785,0.5091553,43,27.63751181125641,orthogonal_,mlp_3layers,9000,0.0008066143231427823
20,CIFAR,backprop,mlp,3layers,4096,0.005,98,1708810,Adam,0.7802531,0.4906006,16,27.735328636169434,orthogonal_,mlp_3layers,9000,0.002011627160850587
21,CIFAR,backprop,mlp,3layers,4096,0.005,98,1708810,SGDM,0.8091634,0.51831055,21,27.9310098028183,orthogonal_,mlp_3layers,9000,0.0016422365178797639
22,CIFAR,backprop,mlp,3layers,4096,0.005,98,1708810,SGD,0.9819336,0.51123047,12,27.742012581825257,orthogonal_,mlp_3layers,9000,0.0027412062623475403
23,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,Adam,0.9989537,0.94873047,21,8.485628933906556,kaiming_normal,kan_2layers,750,0.0034658853041510413
24,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,Adam,0.9989537,0.95202637,13,8.417125821113586,kaiming_uniform,kan_2layers,750,0.005465312014639624
25,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGDM,0.9977853,0.9486084,4,8.996963000297546,kaiming_normal,kan_2layers,750,0.015247933184857681
26,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGDM,0.9989537,0.95129395,0,8.434251933097839,kaiming_uniform,kan_2layers,750,0.07645550360274768
27,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGD,0.99890137,0.9481201,0,8.445192294120789,kaiming_normal,kan_2layers,750,0.07620042124875018
28,MNIST,backprop,kan,2layers,4096,0.0005,98,254080,SGD,0.9990409,0.9510498,0,8.458216667175293,kaiming_uniform,kan_2layers,750,0.07643588126497856
38,MNIST,backprop,kan,2layers,4096,0.005,98,254080,Adam,0.9987444,0.94836426,17,8.408925395011902,kaiming_normal,kan_2layers,750,0.004234446910567744
39,MNIST,backprop,kan,2layers,4096,0.005,98,254080,Adam,0.9989537,0.95214844,0,8.438960614204406,kaiming_uniform,kan_2layers,750,0.07652417897198924
40,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGDM,0.98836845,0.9486084,38,8.491744871139526,kaiming_normal,kan_2layers,750,0.001954863228827908
41,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGDM,0.996739,0.9506836,4,8.456280980110169,kaiming_uniform,kan_2layers,750,0.015281289953515026
42,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGD,0.99720985,0.9486084,25,8.613483943939208,kaiming_normal,kan_2layers,750,0.0029322948432418615
43,MNIST,backprop,kan,2layers,4096,0.005,98,254080,SGD,0.9989537,0.951416,14,8.432742767333984,kaiming_uniform,kan_2layers,750,0.005097687517492133
47,MNIST,backprop,kan,2layers,4096,0.05,98,254080,Adam,0.9798235,0.94555664,26,8.847507214546203,kaiming_normal,kan_2layers,750,0.002814607257212059
48,MNIST,backprop,kan,2layers,4096,0.05,98,254080,Adam,0.9906006,0.9515381,14,8.456625361442565,kaiming_uniform,kan_2layers,750,0.005098341729367787
49,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGDM,0.8643799,0.86047363,49,8.321815314292907,kaiming_normal,kan_2layers,750,0.0013831254728054222
50,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGDM,0.9577462,0.9484863,49,8.455885853767395,kaiming_uniform,kan_2layers,750,0.0015245970549230723
51,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGD,0.9875663,0.9486084,10,8.373238201141357,kaiming_normal,kan_2layers,750,0.006930878720389854
52,MNIST,backprop,kan,2layers,4096,0.05,98,254080,SGD,0.9963379,0.9510498,10,8.669377732276917,kaiming_uniform,kan_2layers,750,0.006948716478634416
62,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,Adam,0.9996861,0.9519043,14,8.433596487045287,kaiming_normal,kan_3layers,750,0.004818342086723019
63,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,Adam,0.9994594,0.95532227,4,8.4800355052948,kaiming_uniform,kan_3layers,750,0.014506929425336467
64,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGDM,0.9995989,0.94958496,3,8.56566002368927,kaiming_normal,kan_3layers,750,0.018024757758029857
65,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGDM,0.9955706,0.9539795,39,8.635165448188781,kaiming_uniform,kan_3layers,750,0.0018108173694775496
66,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGD,0.99965125,0.95166016,25,8.431822247505188,kaiming_normal,kan_3layers,750,0.00277909978886062
67,MNIST,backprop,kan,3layers,4096,0.0005,98,525440,SGD,0.9994594,0.9543457,0,8.665777831077575,kaiming_uniform,kan_3layers,750,0.07246049920553684
71,MNIST,backprop,kan,3layers,4096,0.005,98,525440,Adam,0.9995292,0.9527588,2,8.473908796310425,kaiming_normal,kan_3layers,750,0.02411333694225207
72,MNIST,backprop,kan,3layers,4096,0.005,98,525440,Adam,0.99949425,0.9544678,1,9.404592905044556,kaiming_uniform,kan_3layers,750,0.03623488493928903
73,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGDM,0.986363,0.9519043,22,8.476294808387756,kaiming_normal,kan_3layers,750,0.0031423970130802295
74,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGDM,0.994036,0.9543457,47,8.413232378959655,kaiming_uniform,kan_3layers,750,0.001509593733448684
75,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGD,0.9996163,0.94958496,41,8.600931196212768,kaiming_normal,kan_3layers,750,0.0017166435960028433
76,MNIST,backprop,kan,3layers,4096,0.005,98,525440,SGD,0.9946289,0.9539795,5,9.099905214309693,kaiming_uniform,kan_3layers,750,0.012072115796516998
80,MNIST,backprop,kan,3layers,4096,0.05,98,525440,Adam,0.9781843,0.9477539,46,8.418932428359986,kaiming_normal,kan_3layers,750,0.001531063922219827
81,MNIST,backprop,kan,3layers,4096,0.05,98,525440,Adam,0.9857701,0.95336914,48,8.454905638694763,kaiming_uniform,kan_3layers,750,0.001477272490686943
82,MNIST,backprop,kan,3layers,4096,0.05,98,525440,SGDM,0.97595215,0.96533203,49,8.470958938598633,kaiming_normal,kan_3layers,750,0.0014658931410891098
